mean;std;skew;kurt;RMS;crest;freq_peak;shan;perm;temp;tohn/hour
0.01796344;0.90639849;-0.049805305;-1.410713951;0.906567414;1.055899422;474.0094802;10.36307644;1.151761699;23.19;3.08
0.018637225;0.920035763;-0.032388769;-1.436597291;0.920215313;1.037188134;172.0034401;10.1461103;1.138068966;23.19;3.08
0.018637225;0.920035763;-0.032388769;-1.436597291;0.920215313;1.037188134;172.0034401;10.1461103;1.138068966;23.19;3.08
0.035391345;0.91484228;-0.074831705;-1.418510477;0.915517453;1.051994729;474.0094802;10.16433518;1.119905069;23.19;3.03
0.035391345;0.91484228;-0.074831705;-1.418510477;0.915517453;1.051994729;474.0094802;10.16433518;1.119905069;23.19;3.03
0.028491376;0.932675418;-0.051581344;-1.465777564;0.933101171;1.052620559;164.0032801;9.9452498;1.108887442;23.19;3.03
0.028491376;0.932675418;-0.051581344;-1.465777564;0.933101171;1.052620559;164.0032801;9.9452498;1.108887442;23.19;3.03
0.029830045;0.921005576;-0.062219253;-1.4266322;0.92147932;1.049151646;476.0095202;9.947318927;1.107545865;23.19;2.95
0.029830045;0.921005576;-0.062219253;-1.4266322;0.92147932;1.049151646;476.0095202;9.947318927;1.107545865;23.19;2.95
0.030274688;0.92300604;-0.075596445;-1.432616251;0.923493188;1.053831665;476.0095202;9.966049879;1.111950905;23.19;2.95
0.030274688;0.92300604;-0.075596445;-1.432616251;0.923493188;1.053831665;476.0095202;9.966049879;1.111950905;23.19;2.95
0.035728303;0.921375832;-0.078492176;-1.443782119;0.922059085;1.060669658;476.0095202;10.16402625;1.143017635;23.19;2.99
0.035728303;0.921375832;-0.078492176;-1.443782119;0.922059085;1.060669658;476.0095202;10.16402625;1.143017635;23.19;2.99
0.028386773;0.89802914;-0.062818976;-1.375621003;0.898468706;1.050893099;474.0094802;10.43165505;1.15138022;23.19;2.99
0.028386773;0.89802914;-0.062818976;-1.375621003;0.898468706;1.050893099;474.0094802;10.43165505;1.15138022;23.19;2.99
0.021103408;0.888726492;-0.051669039;-1.350121616;0.888968129;1.046609368;472.0094402;10.50205597;1.161525665;23.2;3.06
0.021103408;0.888726492;-0.051669039;-1.350121616;0.888968129;1.046609368;472.0094402;10.50205597;1.161525665;23.2;3.06
0.02563247;0.903222897;-0.052439463;-1.395701279;0.903577505;1.038820323;170.0034001;10.36235714;1.151182458;23.2;3.06
0.02563247;0.903222897;-0.052439463;-1.395701279;0.903577505;1.038820323;170.0034001;10.36235714;1.151182458;23.2;3.06
0.033109124;0.920477581;-0.069656936;-1.43669032;0.921063649;1.042520661;474.0094802;10.13334929;1.137007374;23.2;3.06
0.033109124;0.920477581;-0.069656936;-1.43669032;0.921063649;1.042520661;474.0094802;10.13334929;1.137007374;23.2;3.06
0.027023892;0.921172781;-0.04467559;-1.446946385;0.92155988;1.046551867;476.0095202;10.19609232;1.140145135;23.2;3.06
0.027023892;0.921172781;-0.04467559;-1.446946385;0.92155988;1.046551867;476.0095202;10.19609232;1.140145135;23.2;3.06
0.021855888;0.901626824;-0.039463126;-1.395336594;0.90188267;1.046001717;476.0095202;10.42779959;1.154762072;23.21;3.03
0.021855888;0.901626824;-0.039463126;-1.395336594;0.90188267;1.046001717;476.0095202;10.42779959;1.154762072;23.21;3.03
0.021365905;0.903972435;-0.044320301;-1.408391754;0.90421586;1.041075441;476.0095202;10.40447426;1.153985246;23.21;3.03
0.021365905;0.903972435;-0.044320301;-1.408391754;0.90421586;1.041075441;476.0095202;10.40447426;1.153985246;23.21;3.03
0.037049711;0.836188809;-0.101719474;-1.226062875;0.837000849;0.982838943;406.0081202;11.39522546;1.16903564;23.72;2.51
0.037049711;0.836188809;-0.101719474;-1.226062875;0.837000849;0.982838943;406.0081202;11.39522546;1.16903564;23.72;2.51
0.048490637;0.856532223;-0.128443267;-1.272312103;0.857895167;0.988238583;408.0081602;11.13326122;1.155039646;23.72;2.51
0.048490637;0.856532223;-0.128443267;-1.272312103;0.857895167;0.988238583;408.0081602;11.13326122;1.155039646;23.72;2.51
0.047053916;0.848800724;-0.124854456;-1.255785095;0.850095483;0.985599478;406.0081202;11.26313054;1.152306312;23.73;2.51
0.047053916;0.848800724;-0.124854456;-1.255785095;0.850095483;0.985599478;406.0081202;11.26313054;1.152306312;23.73;2.51
0.036688143;0.843429781;-0.111692827;-1.255401982;0.844218922;0.983621978;408.0081602;11.40203965;1.164386131;23.73;2.51
0.036688143;0.843429781;-0.111692827;-1.255401982;0.844218922;0.983621978;408.0081602;11.40203965;1.164386131;23.73;2.51
0.039383739;0.838986044;-0.096922697;-1.233401855;0.839901531;0.977033832;408.0081602;11.34464369;1.1624781;23.73;2.53
0.039383739;0.838986044;-0.096922697;-1.233401855;0.839901531;0.977033832;408.0081602;11.34464369;1.1624781;23.73;2.53
0.040058428;0.875402999;-0.081117489;-1.32809695;0.876310311;0.979450852;406.0081202;10.85682332;1.126136128;23.73;2.53
0.040058428;0.875402999;-0.081117489;-1.32809695;0.876310311;0.979450852;406.0081202;10.85682332;1.126136128;23.73;2.53
0.034078156;0.829985562;-0.076041211;-1.206087357;0.830676577;0.975573348;408.0081602;11.44854242;1.161964299;23.73;2.49
0.034078156;0.829985562;-0.076041211;-1.206087357;0.830676577;0.975573348;408.0081602;11.44854242;1.161964299;23.73;2.49
